[INFO] 2026-05-20 22:31:09,797 - Building layer A-P-A
[DEBUG] 2026-05-20 22:31:09,835 - [META_PATH] a0->a1 A-P-A instances=0
[DEBUG] 2026-05-20 22:31:09,872 - [META_PATH] a0->a2 A-P-A instances=0
[DEBUG] 2026-05-20 22:31:09,910 - [META_PATH] a0->a3 A-P-A instances=0
[DEBUG] 2026-05-20 22:31:09,947 - [META_PATH] a0->a4 A-P-A instances=0
[DEBUG] 2026-05-20 22:31:09,984 - [META_PATH] a0->a5 A-P-A instances=0
[DEBUG] 2026-05-20 22:31:10,021 - [META_PATH] a0->a6 A-P-A instances=0
[DEBUG] 2026-05-20 22:31:10,059 - [META_PATH] a0->a7 A-P-A instances=0
[DEBUG] 2026-05-20 22:31:10,096 - [META_PATH] a0->a8 A-P-A instances=0
[DEBUG] 2026-05-20 22:31:10,133 - [META_PATH] a0->a9 A-P-A instances=0
[DEBUG] 2026-05-20 22:31:10,170 - [META_PATH] a0->a10 A-P-A instances=0
[DEBUG] 2026-05-20 22:31:10,207 - [META_PATH] a0->a11 A-P-A instances=0
[DEBUG] 2026-05-20 22:31:10,245 - [META_PATH] a0->a12 A-P-A instances=0
[DEBUG] 2026-05-20 22:31:10,282 - [META_PATH] a0->a13 A-P-A instances=0
[DEBUG] 2026-05-20 22:31:10,319 - [META_PATH] a0->a14 A-P-A instances=0
[DEBUG] 2026-05-20 22:31:10,356 - [META_PATH] a0->a15 A-P-A instances=0
[DEBUG] 2026-05-20 22:31:10,393 - [META_PATH] a0->a16 A-P-A instances=0
[DEBUG] 2026-05-20 22:31:10,431 - [META_PATH] a0->a17 A-P-A instances=0
[DEBUG] 2026-05-20 22:31:10,468 - [META_PATH] a0->a18 A-P-A instances=0
[DEBUG] 2026-05-20 22:31:10,505 - [META_PATH] a0->a19 A-P-A instances=0
[DEBUG] 2026-05-20 22:31:10,542 - [META_PATH] a0->a20 A-P-A instances=0
[DEBUG] 2026-05-20 22:31:10,580 - [META_PATH] a0->a21 A-P-A instances=0
[DEBUG] 2026-05-20 22:31:10,617 - [META_PATH] a0->a22 A-P-A instances=0
[DEBUG] 2026-05-20 22:31:10,654 - [META_PATH] a0->a23 A-P-A instances=0
[DEBUG] 2026-05-20 22:31:10,691 - [META_PATH] a0->a24 A-P-A instances=0
[DEBUG] 2026-05-20 22:31:10,728 - [META_PATH] a0->a25 A-P-A instances=0
[DEBUG] 2026-05-20 22:31:10,765 - [META_PATH] a0->a26 A-P-A instances=0
[DEBUG] 2026-05-20 22:31:10,802 - [META_PATH] a0->a27 A-P-A instances=0
[DEBUG] 2026-05-20 22:31:10,839 - [META_PATH] a0->a28 A-P-A instances=0
[DEBUG] 2026-05-20 22:31:10,876 - [META_PATH] a0->a29 A-P-A instances=0
[DEBUG] 2026-05-20 22:31:10,914 - [META_PATH] a0->a30 A-P-A instances=0
[DEBUG] 2026-05-20 22:31:10,952 - [META_PATH] a0->a31 A-P-A instances=0
